Monitoreo Índice de Progreso Social (IPS);Medir y mejorar indicadores sociales y ambientales en el municipio;Evaluación / Monitoreo;2020–2025;Informe realizado;Éxito: fortaleció toma de decisiones públicas;;;;;;;
Programa “VL Sustentable”: Compostaje comunitario;Habilitar composteras en plazas y puntos verdes;Ambiente / Gestión de residuos;2023–2025;Implementado;Éxito: múltiples composteras activas;;;;;;;
Puntos Verdes y reciclaje vecinal;Facilitar separación de residuos, reciclaje y disposición responsable;Ambiente / Residuos;2024;Red habilitada;Éxito: ampliación sostenida;;;;;;;
Bibliotecas + cultura: red cultural municipal;Expandir espacios culturales en barrios, con actividades diversas;Cultura / Comunidad;2015–2022;Red activa e integrada;Éxito: crecimiento constante de espacios y usuarios;;;;;;;
Bienestar animal: campañas y adopción responsable;Promover tenencia responsable y adopciones en diversidad de especies;Bienestar animal / Salud;Desde 2015;Programas consolidados;Éxito: continuidad y crecimiento de adopciones;;;;;;;
Restricción al estacionamiento para personas con discapacidad;Limitar espacios reservados y aplicar criterios técnicos de certificación para estacionamiento;Movilidad / Inclusión;Mayo?2025;Proyecto polémico;"Fracaso: excluye a personas con diagnóstico no técnico; crítica fuerte ";;;;;;;
Apropiación del patrimonio cultural (subsecretaría de Cultura);Control de marcas, dominios institucionales (“Lumiton”) por parte de exfuncionario;Cultura / Gestión pública;Mayo?2025;Desvinculación del funcionario;Fracaso/Escándalo: intento de privatización de patrimonio público;;;;;;;
Promesa de “Más salud y educación”;Aumentar servicios de salud y educación prometidos en campaña;Salud y Educación;2023–2024;Promesas no cumplidas;Fracaso: críticas por cierre de guardias y falta de impacto;;;;;;;
Gestión de barrios populares (Soledad Martínez);Urbanizar y atender necesidades de barrios populares;Urbanismo / Inclusión social;2023–2024;No urbanizado, carencias persistentes;Fracaso: falta de respuestas a hacinamiento y pobreza;;;;;;;
Campañas de prevención sanitaria (ej. dengue);Prevenir brotes en barrios vulnerables;Salud pública;Verano 2023–2024;Insuficiente intervención;Fracaso parcial: repuntes de dengue sin acciones efectivas;;;;;;;
Contratos irregulares / allanamientos (2016);Compra sin licitación de camionetas Hilux vinculadas a Concesionaria de la hermana del intendente;Seguridad / Transparencia;2014–2016;Investigación y polémica pública;Fracaso: señal de corrupción y falta de transparencia;;;;;;;
Despidos masivos en el municipio;Reestructuración interna en áreas municipales;Gestión municipal / RRHH;2025;Se concretaron los despidos;Fracaso administrativo: mala comunicación y rechazo gremial;;;;;;;
Debilitamiento de Centros de Atención Primaria (CAP);Mantener atención médica integral en los CAPS, con diversas especialidades;Salud pública;2023–2024;Servicios reducidos o cerrados;"Fracaso: varios CAPS pasaron de atención completa a solo enfermería/nutrición; 4 cerrados, generando preocupación vecinal";;;;;;;
Gentrificación y exceso de cemento en la costa;Renovar la costa para el uso público, con paseos y accesos a la ribera;Urbanismo / Ambiente;2019–2024;Sobreconstrucción e impacto ambiental;Fracaso parcial: vecinos denunciaron exceso de cemento, daños ecológicos (vetiver, puentes de hormigón), especulación inmobiliaria;;;;;;;
Subejecución del presupuesto para viviendas sociales;Ejecutar obras de urbanización y viviendas para barrios populares;Urbanización / Vivienda;2011-2022;Solo 36% del presupuesto ejecutado;Fracaso: de $233?M ARS, solo se invirtieron $84?M y se entregaron apenas unas 20 viviendas de unas 4.000 previstas;;;;;;;
Aprobación masiva de excepciones edilicias;Autorizar construcción de torres en zonas no permitidas por el Código de Ordenamiento Urbano (COU);Urbanismo / Medio Ambiente;2015–2023;Más de 500 excepciones aprobadas;Fracaso: generó hacinamiento, colapso de servicios y pérdida de identidad barrial;;;;;;;
Proyecto inmobiliario en predio educativo y patrimonial (Raggio);Usar terrenos de escuela técnica y parque para torres privadas;Patrimonio / Urbanismo;2019–2021;Judicializado y resistido por vecinos;"Fracaso: rechazo masivo de la comunidad educativa; amenaza a patrimonio urbano";;;;;;;
Obras mal ejecutadas en barrios populares;Mejorar desagües, cloacas y servicios básicos en villas y asentamientos;Infraestructura / Inclusión;2017–2022;Inundaciones y problemas persistentes;Fracaso: denuncias por mala calidad de obra y accidentes graves como incendios fatales;;;;;;;
Cementación masiva en la costa pública;Renovar y embellecer el paseo costero;Urbanismo / Medio Ambiente;2020–2024;Obra finalizada;Fracaso parcial: pérdida de espacios verdes, protestas vecinales por impacto ambiental y especulación inmobiliaria;;;;;;;
Debilitamiento de CAPS;Mantener atención médica integral en Centros de Atención Primaria;Salud pública;2023–2024;"4 CAPS cerrados; otros reducidos";"Fracaso: UAP Marzano pasó de múltiples especialidades a solo enfermería y nutrición; vecinos recolectaron firmas por cierres y recortes";;;;;;;
Vallas en Villa Martelli;Cerrar calles para seguridad municipal;Seguridad / Urbanismo;2016–2017;Orden judicial de retiro de vallas;Fracaso: vecinos lograron fallo judicial contra la colocación de vallas sin consulta previa;;;;;;;
Filmar estudiantes durante marcha docente;Registrar a estudiantes en protesta para prevenir alteraciones;Seguridad / Educación;abr-17;Proyecto archivado;Fracaso: Concejo rechazó filmación y ocasionó fuerte repudio ciudadano hacia el oficialismo;;;;;;;
Ausencia de quórum para reconocimiento a ex combatientes;Homenajear y dar beneficios a veteranos de Malvinas;Social / Derechos humanos;mar-12;Sesión frustrada por falta de quórum;Fracaso: concejales PRO no asistieron, generando críticas por falta de reconocimiento a ex combatientes;;;;;;;
Falta de reclamos online en web municipal;Incorporar canal digital de reclamos y consultas;Gestión pública / TIC;~2009–2010;Expediente archivado en comisión;Fracaso: debate cerrado sin avance, se denunció burocracia y falta de modernización digital;;;;;;;
Contrataciones irregulares (camionetas patrulleras);Adquisición directa de vehículos sin licitación pública;Seguridad / Transparencia;2014–2016;Investigaciones en curso;Fracaso: nepotismo, escándalo, allanamientos;;;;;;;
